27-Jan-20,14-May-20
1	1
2	3
3	0
4	0
5	1
6	3
7	2
8	2
9	0
10	0
11	0
12	1
13	0
14	1
15	0
16	2
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	10
32	19
33	2
34	31
35	51
36	29
37	37
38	66
39	220
40	188
41	129
42	241
43	136
44	281
45	451
46	170
47	1597
48	910
49	1210
50	1477
51	1985
52	3070
53	2993
54	4528
55	2365
56	2660
57	4183
58	3930
59	4337
60	6615
61	6933
62	6824
63	4400
64	4790
65	4923
66	6064
67	6922
68	6365
69	4933
70	4031
71	3251
72	4289
73	5633
74	4885
75	3990
76	2737
77	2946
78	2218
79	1287
80	3394
81	2945
82	3699
83	1945
84	1842
85	1881
86	1226
87	2357
88	2481
89	1870
90	1514
91	1257
92	988
93	1154
94	1627
95	1470
96	1068
97	890
98	697
99	488
100	855
101	1155
102	1268
103	1158
104	736
105	555
106	697
107	595
108	927
109	380
