22-Jan-20,14-May-20
1	1
2	0
3	1
4	0
5	3
6	0
7	0
8	0
9	0
10	2
11	1
12	0
13	3
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	1
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	2
32	0
33	0
34	36
35	0
36	6
37	1
38	2
39	8
40	6
41	24
42	20
43	31
44	68
45	45
46	140
47	116
48	65
49	376
50	322
51	382
52	516
53	548
54	772
55	1133
56	1789
57	1362
58	5964
59	5526
60	6327
61	7676
62	10567
63	9893
64	12042
65	18058
66	17821
67	19808
68	19444
69	20922
70	26341
71	25070
72	30380
73	31745
74	33283
75	28152
76	29515
77	30804
78	31533
79	34126
80	33755
81	29861
82	28917
83	25306
84	27051
85	28680
86	31242
87	32114
88	32491
89	26612
90	25517
91	27539
92	28486
93	28819
94	36188
95	32796
96	27631
97	22412
98	24385
99	27327
100	29515
101	34037
102	29078
103	25501
104	22335
105	23976
106	24980
107	27692
108	26906
109	25621
110	19710
111	18621
112	21495
113	21030
114	27368
